school_id,ict_desktops_func,ict_desktops_teaching,ict_desktops_total,ict_desktops_working,ict_laptops_func,ict_laptops_teaching,ict_laptops_total,ict_laptops_working,ict_printers_cond,ict_printers_func,ict_printers_total,ict_projectors_cond,ict_projectors_func,ict_projectors_total,ict_smart_tvs_cond,ict_smart_tvs_func,ict_smart_tvs_total,ict_tablets_func,ict_tablets_teaching,ict_tablets_total,ict_tablets_working,util_confirm_no_grid,util_confirm_no_grid_text,util_confirm_no_wired,util_confirm_no_wired_text,util_has_solar_or_gen,util_utility_electricity,util_utility_internet_funder,util_utility_internet_type,util_utility_internet_yesno
105226,0,0,0,0,,7,7,4,,9,9,,1,4,,0,0,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
111061,0,0,0,0,,2,2,2,,7,7,,0,0,,0,0,0,0,0,0,False,confirm ,False,confirm ,False,No electricity,,,False
106485,,0,1,1,,6,6,6,,4,4,,4,4,,9,9,,50,50,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
125749,0,0,0,0,,4,5,4,,11,11,,0,0,,9,10,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
121851,0,0,0,0,,10,11,11,,11,11,,0,0,,10,10,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
120353,0,0,0,0,,7,7,6,,7,8,,0,0,,5,5,0,0,0,0,False,,False,Confirm,False,Grid supply,,,False
129462,0,0,0,0,,11,14,14,,30,39,,0,0,,5,7,,1,3,2,False,,False,confirm,False,Grid supply,School MOOE,Satellite,True
301762,,0,1,0,,3,5,4,,24,33,,1,1,,15,17,0,0,0,0,False,,False,CONFIRM,True,Grid & Off-grid supply,School MOOE,Wireless (4G/5G/Radio),True
111707,0,0,0,0,,2,3,3,,8,8,,0,2,,6,7,0,0,0,0,False,,False,confirm,False,Grid supply,,,False
304886,0,0,0,0,,2,3,3,,12,14,,1,2,,1,2,,74,74,74,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
306929,0,0,0,0,,5,6,6,,7,7,,1,1,,11,11,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
119876,,20,20,20,,8,13,10,,15,20,,2,2,,40,45,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
135985,0,0,0,0,,4,6,6,,5,5,,0,0,,3,4,0,0,0,0,False,,False,Confirm,False,Grid supply,LGU/Barangay Funded,Satellite,True
124517,0,0,0,0,0,0,0,0,,0,5,,0,0,,6,6,0,0,0,0,False,,False,confirm,False,Grid supply,,,False
303331,,0,8,8,,75,75,66,,10,10,,0,0,,20,20,,30,30,30,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
103348,0,0,0,0,,4,5,5,,10,10,,0,0,,1,1,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
305485,0,0,0,0,,13,13,12,,8,11,,0,0,,4,4,,192,192,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
117783,0,0,0,0,,25,26,23,,27,30,,1,1,,20,22,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
106191,,4,7,7,,8,9,9,,10,10,,1,1,,23,23,,10,10,10,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
112265,,12,12,0,,6,10,7,,5,12,,2,2,,6,10,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
502041,0,0,0,0,,14,16,16,,15,16,,1,1,,8,8,0,0,0,0,False,,False,Confirm ,False,Grid supply,School MOOE,Wireless (4G/5G/Radio),True
121651,0,0,0,0,,4,5,5,,5,5,,0,0,,4,4,0,0,0,0,False,,False,confirm,False,Grid supply,School MOOE,Wireless (4G/5G/Radio),True
135808,0,0,0,0,,7,10,7,,6,10,,0,0,,2,2,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
119067,0,0,0,0,,4,5,5,,10,12,,2,2,,6,6,,1,1,1,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
125943,0,0,0,0,,8,12,10,,5,9,,1,1,,10,11,0,0,0,0,False,,False,Confirm,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
107115,0,0,0,0,,9,12,9,,18,18,,1,1,,15,16,,114,114,81,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
100589,0,0,0,0,,3,4,4,,4,4,,0,0,,4,4,0,0,0,0,False,,False,confirm,False,Grid supply,DepEd Funded (DCP),Satellite,True
129089,0,0,0,0,,3,3,3,,1,1,,0,0,,3,3,,50,50,30,False,,False,Confirm,False,Grid supply,School MOOE,Wireless (4G/5G/Radio),True
304844,0,0,0,0,,18,30,21,,10,10,,0,1,,2,2,,0,60,30,False,,False,confirm,False,Grid supply,School MOOE,Satellite,True
135151,0,0,0,0,,6,8,7,,7,7,,0,0,,5,5,0,0,0,0,False,,False,confirm,False,Grid supply,DepEd Funded (DCP),Satellite,True
111991,0,0,0,0,,1,2,1,,5,6,,0,3,,8,9,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
180516,0,0,0,0,,8,10,10,,24,24,,3,3,,10,10,,5,5,5,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
300468,0,0,0,0,,20,94,90,,6,10,,0,0,,18,18,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
120273,,0,10,0,,5,6,5,,10,12,,1,2,,7,7,0,0,0,0,False,,False,CONFIRM,False,Grid supply,,,False
125855,0,0,0,0,,6,6,3,,8,10,,0,0,,5,5,0,0,0,0,False,,False,confirm,False,Grid supply,DepEd Funded (DCP),Satellite,True
501364,0,0,0,0,,11,13,12,,13,13,,0,1,,12,15,0,0,0,0,False,,False,CONFIRM,False,Grid supply,School MOOE,Satellite,True
118394,0,0,0,0,,2,5,4,,6,8,,0,0,,15,15,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
107882,,0,4,3,,21,25,25,,6,13,,1,1,,12,16,,0,1,1,False,,False,,True,Grid & Off-grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
122464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115926,0,0,0,0,,8,8,8,,9,10,,0,0,,9,13,0,0,0,0,False,,False,CONFIRM,False,Grid supply,School MOOE,Satellite,True
113659,0,0,0,0,,6,7,7,,8,10,,0,1,,5,8,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
301221,,0,6,3,,20,20,19,,40,50,,0,2,,40,50,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
207518,0,0,0,0,0,0,0,0,,5,6,,0,0,,5,5,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
104311,,0,1,1,,1,4,2,,4,6,,1,1,,1,1,,7,7,2,False,,False,Confirm ,False,Grid supply,DepEd Funded (DCP),Satellite,True
100586,0,0,0,0,,2,3,3,,5,7,,0,0,,6,6,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
312320,,0,1,1,,2,3,3,,3,3,,0,0,,5,5,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
113444,0,0,0,0,,5,5,5,,2,2,,0,0,,1,1,0,0,0,0,False,Confirm,False,Confirm,True,Off-grid supply,,,False
111121,0,0,0,0,,2,2,2,,3,3,,0,0,,3,3,,3,3,3,False,CONFIRM,False,CONFIRM,True,Off-grid supply,,,False
118108,,0,1,1,,4,5,5,,0,0,,0,0,,0,0,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
105249,,6,6,0,,5,5,2,,8,11,,2,2,,5,5,0,0,0,0,False,,False,,False,Grid supply,Teachers' Personal Expense,Wired (Fiber/DSL/Cable),True
170028,0,0,0,0,,7,7,4,,3,7,,0,0,,7,7,0,0,0,0,False,,False,confirm,False,Grid supply,,,False
170571,0,0,0,0,,4,5,5,,5,6,,2,2,,8,8,0,0,0,0,False,,False,confirm,False,Grid supply,,,False
137303,0,0,0,0,0,0,0,0,,4,4,,0,0,,4,4,0,0,0,0,False,confirm,False,confirm,False,No electricity,School MOOE,Wired (Fiber/DSL/Cable),True
503067,0,0,0,0,0,0,0,0,,1,1,,0,0,,0,0,0,0,0,0,False,,False,confirm,False,Grid supply,,,False
112206,0,0,0,0,,4,4,4,,23,23,,0,0,,3,3,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
122383,0,0,0,0,,1,1,1,,2,2,,1,1,,1,1,0,0,0,0,False,,False,CONFIRM,False,Grid supply,DepEd Funded (DCP),Satellite,True
135842,0,0,0,0,,5,5,5,,8,8,,1,1,,5,5,0,0,0,0,False,,False,Confirm,False,Grid supply,School MOOE,Satellite,True
132699,0,0,0,0,,4,4,4,,3,3,,0,0,,2,2,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
301484,,165,170,158,,145,149,148,,19,19,,2,2,,11,13,,107,1474,1156,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
129307,,0,1,1,,5,6,6,,10,10,,1,1,,8,8,,0,1,1,False,,False,,False,Grid supply,DepEd Funded (DCP),Wired (Fiber/DSL/Cable),True
137271,0,0,0,0,0,0,0,0,,6,6,,0,0,,5,5,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
116477,,0,1,1,,5,6,6,,39,39,,2,2,,22,22,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
