project_id,ipc,total_images,internal_count,external_count,other_count,school_name,project_name,division,region
1000325,INF-12-2024-01035,43,17,26,0,Bogna Elementary School,Upgrading of Electrical System (Overhead System),LEGASPI CITY,REGION V
1000249,INF-12-2024-00825,36,14,22,0,Julio Ledesma National High School,Upgrading of Electrical System,SAN CARLOS CITY,NIR
1000288,INF-02-2024-00925,32,15,17,0,Dawan NHS,Repair / Rehabilitation of Classrooms,MATI CITY,REGION XI
1009949,INF-01-2024-01596,22,15,7,0,MALAGNAT NATIONAL HIGH SCHOOL,3STY9CL,KALINGA,CAR
1010089,INF-02-2024-01987,22,9,13,0,La Union NHS,Repair of Classrooms,BOHOL,REGION VII
1000473,INF-01-2025-00991,20,10,10,0,Bato NHS,Construction of  1STY3CL and 2STY12CL,DAVAO DEL SUR,REGION XI
1010084,INF-02-2024-01962,17,7,10,0,Anoling National High School,Repair of Classrooms,BOHOL,REGION VII
1009867,INF-02-2024-02002,17,4,13,0,Bonkokan ES,Repair of Classrooms,BOHOL,REGION VII
1000297,INF-02-2024-00896,17,14,3,0,Catumbalon ES,Repair of Classrooms,VALENCIA CITY,REGION X
1010090,INF-02-2024-01982,17,4,13,0,Lungsodaan ES,Repair of Classrooms,BOHOL,REGION VII
1010011,INF-02-2024-02009,17,5,12,0,La Union Elementary School,Repair of Classrooms,BOHOL,REGION VII
1000407,INF-01-2024-00765,15,7,8,0,Blanca-Aurora Integrated School,1STY3CL,SAMAR (WESTERN SAMAR),REGION VIII
1000309,INF-04-2024-00542,14,9,5,0,Bolbok Integrated National High School,CONSTRUCTION OF SCHOOL CLINIC,LIPA CITY,REGION IV-A
1000167,INF-07-2024-00040,14,13,1,0,Mariano Espina Memorial Central Elementary School,Conversion of SPED Centers Into Prototype Inclusive Learning Resource Center,SURIGAO CITY,CARAGA
1009831,INF-07-2024-00041,14,7,7,0,Bacsay ES,Proposed Conversion of 9 Classrooms into Inclusive Learning Resource Center,APAYAO,CAR
1009786,INF-07-2024-00115,14,11,3,0,Rabat Rocamora Mati Central School SPED Center,Conversion of SPED Center to Inclusive Learrning Resource Center (ILRC),MATI CITY,REGION XI
1000163,INF-12-2024-00810,14,7,7,0,Bongalonan Elementary School,Electrification of Un-Energized Schools and Modernization of Electrical Systems of On-Grid Schools,BAYAWAN CITY,NIR
1009770,INF-02-2024-01958,14,8,6,0,Ili National High School,Repair of Classrooms,APAYAO,CAR
1010091,INF-02-2024-02031,13,3,10,0,Panadtaran ES,Repair of Classrooms,BOHOL,REGION VII
1009834,INF-04-2024-00541,13,5,8,0,Pudtol Vocational High School,Construction of School Clinic,APAYAO,CAR
1009690,INF-12-2024-01806,12,1,11,0,SANTA CRUZ CES,Energization of Electrical System (Overhead System),DAVAO DEL SUR,REGION XI
1000284,INF-02-2025-00838,12,8,4,0,Colonia ELEMENTARY SCHOOL,Repair / Rehabilitation of Classrooms,VALENCIA CITY,REGION X
1010033,INF-01-2025-00066,12,6,6,0,Cristina David Pascual National High School,Construction of School Building,GAPAN CITY,REGION III
1009977,INF-01-2024-01258,12,12,0,0,Barasoain Memorial Integrated School,3STY15CL,MALOLOS CITY,REGION III
1009704,INF-02-2025-02731,12,6,6,0,Tagaskan ES,"REPAIR OF CLASSROOMS AT TAGASKAN ES, ROXAS, ORIENTAL MINDORO",ORIENTAL MINDORO,MIMAROPA
1009819,INF-02-2024-00786,12,3,9,0,Kabugao Central School,Repair of Classrooms,APAYAO,CAR
1009751,INF-06-2024-00487,12,6,6,0,Northern Tacloban City National High School,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),TACLOBAN CITY,REGION VIII
1010053,INF-01-2025-00559,12,6,6,0,Baso ES,CONSTRUCTION OF SCHOOL BUILDING,MATI CITY,REGION XI
1000482,INF-01-2024-00960,12,8,4,0,Ivana NHS,1STY2CL,BATANES,REGION II
1009818,INF-02-2024-02064,12,3,9,0,Kabugao Central School,Repair of Classrooms,APAYAO,CAR
1009662,INF-04-2024-01019,11,5,6,0,Pudtol Vocational High School,Construction of School Clinic,APAYAO,CAR
1000455,INF-04-2024-00528,11,5,6,0,Valencia City Central School,Construction/Repair of Health Facilities,VALENCIA CITY,REGION X
1010088,INF-02-2024-01915,11,3,8,0,Anoling ES,Repair of Classrooms,BOHOL,REGION VII
1009885,INF-02-2024-02169,11,5,6,0,Antonino Vicentino ES,Repair / Rehabilitation of Classrooms,MATI CITY,REGION XI
1000300,INF-01-2024-01880,11,8,3,0,Lurugan Elementary School,2STY6CL,VALENCIA CITY,REGION X
1000391,INF-02-2025-00701,11,4,7,0,Himyangan Elementary School,Repair / Rehabilitation of Classrooms,SAMAR (WESTERN SAMAR),REGION VIII
1009754,INF-02-2025-02189,11,8,3,0,Conner National HS,Repair / Rehabilitation of Classrooms,APAYAO,CAR
1009865,INF-02-2024-02075,10,3,7,0,Tocdog ES,Repair of Classrooms,BOHOL,REGION VII
1000404,INF-01-2024-01657,10,7,3,0,Buenavista Elementary School,1STY3CL,SAMAR (WESTERN SAMAR),REGION VIII
