project_id,project_name,school_name,engineer_id,engineer_name,created_at,division,region,approval_status,uploader_type
1108268,CONSTRUCTION OF 1STY2CL AT AURORA NHS,Aurora Nhs,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108269,CONSTRUCTION OF 1STY2CL AT SALUG NHS,Salug Nhs,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108273,CONSTRUCTION OF 1STY2CL AT CORPUZ NHS,Corpuz NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108277,CONSTRUCTION OF 1STY2CL AT NATO NHS,Nato National High School,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108293,CONSTRUCTION OF SHS UNIQUE WORKSHOP (7X22.5) AT SALVACION NHS,Salvacion NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108298,CONSTRUCTION OF 3STY15CL-2STY12CL-SHS UNIQUE WORKSHOP (7X22.5) AT ESPERANZA NHS,Esperanza National High School,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108299,CONSTRUCTION OF 3STY12CL-3STY6CL-SHS UNIQUE WORKSHOP (7X22.5) AT BUNAWAN NHS,Bunawan National High School,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108292,CONSTRUCTION OF 2STY6CL AT CECILIA NHS,Cecilia Nhs,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108302,CONSTRUCTION OF UNIQUE WORKSHOP (7X22.5) AT WEST PROSPERIDAD NHS,West Prosperidad Nhs,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108306,CONSTRUCTION OF 2STY4CL AT ANISLAGAN NHS,Anislagan NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108318,CONSTRUCTION OF 2STY6CL AT BAYUGAN III NHS,Bayugan III NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108310,CONSTRUCTION OF 1STY2CL AT AURORA NHS,Aurora NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108322,CONSTRUCTION OF 1STY2CL AT BUENASUERTE NHS,Buena Suerte NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108326,CONSTRUCTION OF 2STY6CL AT GUADALUPE NHS,Guadalupe NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108314,CONSTRUCTION OF 1STY2CL AT BAYUGAN II NHS,Bayugan II National High School,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108327,"CONSTRUCTION OF SCHOOL BUILDING DR. VICENTE F. GUSTILO MEMORIAL NATIONAL HIGH SCHOOL, BARANGAY ZONE II, CADIZ CITY, NEGROS OCCIDENTAL",Dr. Vicente F. Gustilo Memorial NHS,9d6dfe18-c5b8-41b3-84be-c53e61678405,Kevin Cahinod,,CADIZ CITY,NIR,Pending,DepEd Engineer
1108331,CONSTRUCTION OF 1STY2CL AT KAPATUNGAN NHS,Kapatungan NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108334,CONSTRUCTION OF 1STY2CL AT KASAPA NHS,Kasapa NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108337,CONSTRUCTION OF 2STY6CL AT LA FORTUNA NHS,La Fortuna NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108342,CONSTRUCTION OF 2UNITS-1STY3CL AT AURORA NHS,La Paz NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108346,CONSTRUCTION OF 2UNITS-1STY3CL AT LAMINGA NHS,Laminga NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108349,CONSTRUCTION OF 2STY6CL AT LIBERTAD NHS,Libertad NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108323,CONSTRUCTION OF 2STY6CL AT GUADALUPE NHS,Guadalupe NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108324,CONSTRUCTION OF 2STY6CL AT GUADALUPE NHS,Guadalupe NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108325,CONSTRUCTION OF 2STY6CL AT GUADALUPE NHS,Guadalupe NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108343,CONSTRUCTION OF 2UNITS-1STY3CL AT LAMINGA NHS,Laminga NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108344,CONSTRUCTION OF 2UNITS-1STY3CL AT LAMINGA NHS,Laminga NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108345,CONSTRUCTION OF 2UNITS-1STY3CL AT LAMINGA NHS,Laminga NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108319,CONSTRUCTION OF 1STY2CL AT BUENASUERTE NHS,Buena Suerte NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108320,CONSTRUCTION OF 1STY2CL AT BUENASUERTE NHS,Buena Suerte NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108321,CONSTRUCTION OF 1STY2CL AT BUENASUERTE NHS,Buena Suerte NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
1108315,CONSTRUCTION OF 2STY6CL AT BAYUGAN III NHS,Bayugan III NHS,59e537e3-752f-43f7-a418-38fcdb413773,Mark Diody  Parcon,,AGUSAN DEL SUR,CARAGA,Pending,
