id,school_id,iern,batches_name,year_received,sources_fund,ecart_laptops,ecart_tablets,ecart_tv,charging_condition,remarks,created_at
1075,302833,2026-31141,Batch 42,2022,DepEd (DCP),46,0,1,Functional,"Headphones, Router",2026-04-08 14:11:30.086046+00:00
165,500086,2026-11996,42,2023,DepEd (DCP),41,0,1,Functional,,2026-04-06 13:23:51.053319+00:00
7118,303326,2026-34769,Batch 2022-01,2024,DepEd (DCP),46,0,0,Functional,"Some Dell Laptops need to be permanently plug-in to use. 
battery issues",2026-04-20 11:34:59.035963+00:00
1973,309612,2026-23537,Batch,2025,DepEd (DCP),46,0,0,Functional,,2026-04-10 05:08:26.012167+00:00
474,301768,2026-06421,Batch 2019-02,2021,DepEd (DCP),18,0,0,Functional,,2026-04-07 07:39:28.280113+00:00
475,301768,2026-06421,Batch 2018-01,2019,DepEd (DCP),0,25,0,Functional,,2026-04-07 07:39:28.284850+00:00
66,150021,2026-07744,DCP 2025 Packages(Laptop For Teaching(LAT)Lot 2,2025,DepEd (DCP),5,1,1,Functional,,2026-04-03 14:11:13.084732+00:00
323,302915,2026-31885,2022,2024,DepEd (DCP),46,0,0,Functional,Mouse,2026-04-07 05:44:34.293530+00:00
476,301768,2026-06421,Batch 36,2018,DepEd (DCP),4,0,0,Functional,,2026-04-07 07:39:28.289586+00:00
101,999881,999881,2,2024,DepEd (DCP),11,1,1,Functional,,2026-04-06 05:24:10.184353+00:00
477,301768,2026-06421,Batch 2024-01,2024,DepEd (DCP),46,0,0,Functional,,2026-04-07 07:39:28.295423+00:00
70,100271,2026-07920,Batch 2024-01 (E-LEARNING CART PACKAGE),2024,DepEd (DCP),46,0,1,Functional,"Routers, wireless mouse, mouse pad, headset, laptop bags",2026-04-03 14:36:14.867146+00:00
102,309162,2026-05356,35,2019,DepEd (DCP),1,0,0,Functional,"DVD writers, Head set router",2026-04-06 05:29:20.589090+00:00
1831,500053,2026-10114,DEPED LOT 1: IT PACKAGE (E-TEXTBOOK),2019,DepEd (DCP),0,50,0,Functional,"1 ROUTER, 50 MOUSE,  50HEADSETS",2026-04-10 03:52:45.705262+00:00
105,306119,2026-11680,Batch 43,2018,DepEd (DCP),5,0,0,Functional,Headphones,2026-04-06 06:19:39.800443+00:00
7119,303326,2026-34769,Batch 2023-01,2024,DepEd (DCP),46,0,0,Functional,All Lenovo Laptops In Good Condition,2026-04-20 11:34:59.042180+00:00
1117,301679,2026-06079,Batch 35,2022,DepEd (DCP),46,0,1,Functional,"Silicon Power Armor A60, Router, Projector,Speaker,UPS, AVR",2026-04-08 22:02:57.225654+00:00
495,136689,2026-07271,DCP Packages 2024,2024,DepEd (DCP),46,0,1,Functional,,2026-04-07 07:49:32.294428+00:00
127,305941,2026-11504,Batch 2023-03,2024,DepEd (DCP),5,0,0,Functional,,2026-04-06 07:37:27.206199+00:00
7121,306207,2026-12496,Batch 2019-03,2020,DepEd (DCP),1,50,0,Functional,,2026-04-20 11:45:49.795308+00:00
7280,305096,2026-00515,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,,2026-04-21 04:31:29.578418+00:00
634,501614,2026-12807,DCP2022,2024,DepEd (DCP),51,0,1,Functional,Headphones,2026-04-07 12:09:48.095906+00:00
104,306115,2026-12168,2023,2024,DepEd (DCP),103,0,2,Functional,,2026-04-06 05:35:13.815067+00:00
90,300576,2026-11333,Batch 2019-03,2021,DepEd (DCP),0,50,0,Non-Functional,,2026-04-06 04:05:21.230549+00:00
5303,317520,2026-03058,Batch 2022-01,2022,DepEd (DCP),46,0,1,Functional,"Router, Charging station, external drive",2026-04-15 03:13:19.465404+00:00
1098,321802,2026-26740,FY 2022 eLearning Cart Secondary,2024,DepEd (DCP),1,50,0,Functional,"external hard drive, wireless router",2026-04-08 15:28:39.821844+00:00
110,104374,2026-12745,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,"Routers, external hard drive",2026-04-06 06:44:20.482139+00:00
87,305832,2026-11881,black,2023,DepEd (DCP),50,0,1,Functional,"Router, Mouse, headset",2026-04-06 04:02:15.107299+00:00
88,305832,2026-11881,blue,2022,DepEd (DCP),51,0,1,Functional,"Router,headphone, mouse",2026-04-06 04:02:15.114587+00:00
89,305832,2026-11881,HE DCP,2026,DepEd (DCP),3,0,1,Functional,"Mouse,headset",2026-04-06 04:02:15.120866+00:00
5304,317520,2026-03058,Batch 2023-01,2023,DepEd (DCP),46,0,1,Functional,"Router, charging station , silicon power armor",2026-04-15 03:13:19.474343+00:00
1046,109559,2026-19502,Batch 23,2024,DepEd (DCP),4,0,5,Functional,,2026-04-08 13:28:28.045922+00:00
7392,316011,2026-42109,Batch,2024,DepEd (DCP),47,0,1,Functional,,2026-04-21 23:03:18.343880+00:00
139,305145,2026-01191,Batch 2023-01,2022,DepEd (DCP),46,0,1,Functional,,2026-04-06 08:24:35.312006+00:00
100,156507,2026-12689,Batch 44,2024,DepEd (DCP),44,0,0,Functional,,2026-04-06 04:52:05.734218+00:00
7460,301614,2026-05300,Batch 2018,2018,DepEd (DCP),0,50,1,Functional,,2026-04-22 13:40:08.731255+00:00
5346,302792,2026-30590,2023-01 E-Learning Package,2024,DepEd (DCP),46,0,1,Functional,"Wireless Routers 2pcs, External HDD 1pc",2026-04-15 03:46:55.436818+00:00
5354,500066,2026-11297,DCP-2024 BATCH 1,2024,DepEd (DCP),48,0,1,Functional,Other accessories are no longer working,2026-04-15 03:57:16.215275+00:00
5355,500066,2026-11297,DCP 2024 STV,2024,DepEd (DCP),0,0,4,Functional,,2026-04-15 03:57:16.225939+00:00
1428,101499,2026-09279,Batch 40,2018,DepEd (DCP),1,0,0,Functional,,2026-04-09 13:24:00.694005+00:00
1429,101499,2026-09279,DCP Batch 2020 Multimedia Classroom Package,2021,DepEd (DCP),4,0,0,Functional,,2026-04-09 13:24:00.698570+00:00
1430,101499,2026-09279,DCP 2024,2024,DepEd (DCP),5,0,0,Functional,,2026-04-09 13:24:00.703727+00:00
59,320808,2026-07747,e-Learning Package,2024,DepEd (DCP),26,0,1,Functional,"Routers, Headset, Laptop Bags, Wireless Mouse and Mouse Pad",2026-04-01 08:39:49.687807+00:00
58,102889,2026-11028,2018-01(E-Textbooks),2019,DepEd (DCP),1,50,0,Functional,5 are non functional ,2026-04-01 08:38:27.733255+00:00
111,300554,2026-11770,Batch 2022 elearning cart package,2024,DepEd (DCP),46,0,1,Functional,Need additional laptops,2026-04-06 07:10:47.001031+00:00
130,309402,2026-06774,BATCH 2024,2024,DepEd (DCP),46,0,1,Functional,,2026-04-06 07:48:25.508906+00:00
120,104381,2026-12751,Batch 01,2024,DepEd (DCP),51,0,1,Functional,,2026-04-06 07:25:58.295767+00:00
123,306421,2026-10867,Batch 2022-1,2022,DepEd (DCP),46,0,1,Functional,"2 Modem Router, 2 charging cart, 1 external hard drive",2026-04-06 07:36:06.739670+00:00
124,306421,2026-10867,eTextbooks Batch 2019,2019,DepEd (DCP),0,50,0,Functional,,2026-04-06 07:36:06.747668+00:00
125,306421,2026-10867,Junior High School ICT Package Batch 2016,2016,DepEd (DCP),0,0,0,Non-Functional,None,2026-04-06 07:36:06.751781+00:00
126,306421,2026-10867,Senior High School ICT Package Batch 2018 (Desktop),2018,DepEd (DCP),0,0,0,Non-Functional,Computer Bundle Set,2026-04-06 07:36:06.757149+00:00
137,118611,2026-31649,26,2020,DepEd (DCP),6,0,0,Functional,Routers,2026-04-06 08:05:29.602280+00:00
143,300572,2026-11835,2022-01,2024,DepEd (DCP),46,0,1,Functional,"external hard drive, flash drive, router",2026-04-06 09:10:31.418914+00:00
148,301776,2026-06587,BATCH 47,2024,DepEd (DCP),46,0,2,Functional,2 ROUTERS,2026-04-06 09:28:05.310661+00:00
157,501927,2026-41388,2024,2024,DepEd (DCP),46,0,1,Functional,"1 router, 1 hard drive",2026-04-06 10:53:24.692016+00:00
156,309007,2026-05471,DCP 2024,2024,DepEd (DCP),46,0,1,Functional,"Router, headphone, mouse",2026-04-06 10:23:43.147969+00:00
162,301777,2026-06380,Batch 2022-01 laptop HP 245 G9,2024,DepEd (DCP),46,0,1,Functional,"routers ,headphones",2026-04-06 12:18:15.345026+00:00
1974,502134,2026-04348,Batch 2024-01,2024,DepEd (DCP),46,0,1,Functional,"Routers, Head set, chargers, mouse & mouse pad",2026-04-10 05:09:17.913729+00:00
222,307812,2026-20280,DCP Package,2024,DepEd (DCP),46,0,0,Functional,"Mouse, router, headset, Smart TV",2026-04-07 03:16:01.504678+00:00
163,501315,2026-11682,08-2024-E-LC-THINKPAD LENOVO,2024,DepEd (DCP),51,0,0,Non-Functional,"Chargers, mouse",2026-04-06 12:26:15.352196+00:00
1099,136783,2026-07402,Batch 40,2018,DepEd (DCP),1,0,0,Functional,,2026-04-08 15:35:19.561020+00:00
635,304246,2026-42016,Batch 44,2017,DepEd (DCP),46,0,0,Functional,,2026-04-07 12:12:48.836131+00:00
320,322701,2026-10371,DCP Batch 2018-01,2019,DepEd (DCP),1,50,0,Non-Functional,"2 units charging/storage cart (unserviceable)
1 unit wireless router: Lynksys EA7500",2026-04-07 05:42:04.204049+00:00
324,500062,2026-10503,Batch 2023-1,2023,DepEd (DCP),46,0,1,Functional,"2 routers, 2 carts, ",2026-04-07 05:46:53.451598+00:00
158,300550,2026-11372,Batch 42 ,2022,DepEd (DCP),46,0,1,Functional,,2026-04-06 11:25:04.324142+00:00
1100,136783,2026-07402,Batch 31,2017,DepEd (DCP),2,0,2,Functional,,2026-04-08 15:35:19.567418+00:00
1101,136783,2026-07402,Batch 29,2016,DepEd (DCP),1,0,0,Functional,,2026-04-08 15:35:19.572761+00:00
336,301195,2026-17588,Batch 2024-01,2024,DepEd (DCP),46,0,1,Functional,"Routers, headphones, charging ecart, external hard drive, flash drive",2026-04-07 05:57:06.792076+00:00
