IPC,Dup_Count,Project_ID,School_Name,Project_Name,Division,Region
INF-01-2016-05345,4,1108302,West Prosperidad Nhs,CONSTRUCTION OF UNIQUE WORKSHOP (7X22.5) AT WEST PROSPERIDAD NHS,AGUSAN DEL SUR,CARAGA
INF-01-2016-05345,4,1108301,West Prosperidad Nhs,CONSTRUCTION OF UNIQUE WORKSHOP (7X22.5) AT WEST PROSPERIDAD NHS,AGUSAN DEL SUR,CARAGA
INF-01-2016-05345,4,1108300,West Prosperidad Nhs,CONSTRUCTION OF UNIQUE WORKSHOP (7X22.5) AT WEST PROSPERIDAD NHS,AGUSAN DEL SUR,CARAGA
INF-01-2016-05345,4,1107867,West Prosperidad Nhs,,AGUSAN DEL SUR,CARAGA
INF-01-2024-00613,2,1098093,Calayaan Integrated School,1STY2CL,TARLAC,Region III
INF-01-2024-00613,2,1055441,San Agustin Kanluran ES,1STY2CL,BATANGAS CITY,REGION IV-A
INF-01-2024-01598,2,1100253,Bagbaguin ES,4STY12CL,MEYCAUAYAN CITY,REGION III
INF-01-2024-01598,2,1097478,Tocao - Madidis National High School,1STY8CL,MAGUINDANAO I,BARMM
INF-01-2024-01607,2,1104597,Pasong Tamo ES,4STY8CL,QUEZON CITY,NCR
INF-01-2024-01607,2,1097249,Amai Pakpak CES,3STY12CL,MARAWI CITY,BARMM
INF-01-2024-01677,11,1108269,Salug Nhs,CONSTRUCTION OF 1STY2CL AT SALUG NHS,AGUSAN DEL SUR,CARAGA
INF-01-2024-01677,11,1108260,Salug Nhs,CONSTRUCTION OF 1STY2CL AT SALUG NHS,AGUSAN DEL SUR,CARAGA
INF-01-2024-01677,11,1108259,Salug Nhs,CONSTRUCTION OF 1STY2CL AT SALUG NHS,AGUSAN DEL SUR,CARAGA
INF-01-2024-01677,11,1108258,Salug Nhs,CONSTRUCTION OF 1STY2CL AT SALUG NHS,AGUSAN DEL SUR,CARAGA
INF-01-2024-01677,11,1108257,Salug Nhs,CONSTRUCTION OF 1STY2CL AT SALUG NHS,AGUSAN DEL SUR,CARAGA
INF-01-2024-01677,11,1108256,Salug Nhs,CONSTRUCTION OF 1STY2CL AT SALUG NHS,AGUSAN DEL SUR,CARAGA
INF-01-2024-01677,11,1108255,Salug Nhs,CONSTRUCTION OF 1STY2CL AT SALUG NHS,AGUSAN DEL SUR,CARAGA
INF-01-2024-01677,11,1108254,Salug Nhs,CONSTRUCTION OF 1STY2CL AT SALUG NHS,AGUSAN DEL SUR,CARAGA
INF-01-2024-01677,11,1108253,Salug Nhs,CONSTRUCTION OF 1STY2CL AT SALUG NHS,AGUSAN DEL SUR,CARAGA
INF-01-2024-01677,11,1108252,Salug Nhs,CONSTRUCTION OF 1STY2CL AT SALUG NHS,AGUSAN DEL SUR,CARAGA
INF-01-2024-01677,11,1107875,Salug Nhs,,AGUSAN DEL SUR,CARAGA
INF-01-2024-01745,2,1100378,Olongapo City ES,4STY12CL,OLONGAPO CITY,REGION III
INF-01-2024-01745,2,1097621,Amaga Elementary School,1STY3CL,SURIGAO DEL SUR,CARAGA
INF-01-2024-01782,2,1103441,Mandangoa ES,2STY8CL,MISAMIS ORIENTAL,REGION X
INF-01-2024-01782,2,1097660,San Roque National High School,3STY6CL,MARIKINA CITY,NCR
INF-01-2024-01822,2,1104667,Apolonia F. Rafael Elementary School,3STY12CL - Phase 1 of 4STY16CL,VALENZUELA CITY,NCR
INF-01-2024-01822,2,1097700,Dr. A. Sian ES,1STY2CL,BAGO CITY,NIR
INF-01-2024-01826,2,1105513,Bauan Technical Integrated High School,4STY20CL,BATANGAS,REGION IV-A
INF-01-2024-01826,2,1097703,Angas 1 Elementary School,1STY2CL with CR,CANLAON CITY,NIR
INF-01-2024-01830,2,1105747,LOOC NATIONAL HIGH SCHOOL,4STY20CL,ROMBLON,REGION IV-B
INF-01-2024-01830,2,1097707,Magsaysay National High School,1STY2CL,ESCALANTE CITY,NIR
INF-01-2024-01880,2,1103351,Lurugan Elementary School,2STY6CL,VALENCIA CITY,REGION X
INF-01-2024-01880,2,1097757,Pangapisan Integrated School,Construction of School Building,ALAMINOS CITY,Region I
INF-01-2025-00763,2,1108187,Bulahan IS,Construction of  1STY2CL and  1STY3CL,MISAMIS ORIENTAL,REGION X
INF-01-2025-00763,2,1099129,KALLIAT INTEGRATED SCHOOL,Construction of School Building,APAYAO,CAR
INF-01-2025-00816,2,1100107,Victoria Elementary School,Construction of 1STY2CL,ISABELA,REGION II
INF-01-2025-00816,2,1099180,San Roque National High School,Construction of School Building,MARIKINA CITY,NCR
INF-01-2025-00823,2,1104726,Cabanuangan PS,Construction of 1STY2CL,AURORA,REGION III
INF-01-2025-00823,2,1099187,Sta. Lucia High School,Construction of School Building (Phase 2),PASIG CITY,NCR
INF-01-2025-00824,2,1108247,Calaocan IS,Construction of 1STY2CL,AURORA,REGION III
INF-01-2025-00824,2,1099188,Sinag-Tala ES,Construction of 3STY3CL,QUEZON CITY,NCR
INF-01-2025-00825,2,1100223,Kalapnit ES,Construction of 1STY2CL,AURORA,REGION III
INF-01-2025-00825,2,1099189,Sto. Cristo ES,Construction of School Building,QUEZON CITY,NCR
INF-01-2025-00836,2,1101457,Taboc ES,Construction of 1STY2CL,ANTIQUE,REGION VI
INF-01-2025-00836,2,1099200,Progreso Village National High School,Construction of School Building,BACOLOD CITY,NIR
INF-01-2025-00838,2,1108248,Lublub Integrated School,Construction of 1STY2CL,ANTIQUE,REGION VI
INF-01-2025-00838,2,1099202,Dr. Vicente F. Gustilo Memorial NHS,Construction of School Building,CADIZ CITY,NIR
INF-01-2025-00866,2,1100148,Luna CS,Construction of 1STY3CL,ISABELA,REGION II
INF-01-2025-00866,2,1099230,Candon South Central School,Construction of School Building,CANDON CITY,Region I
INF-01-2025-00867,2,1100200,Sta. Rosa ES,Construction of 1STY3CL,SANTIAGO CITY,REGION II
INF-01-2025-00867,2,1099231,East Central Integrated School,Construction of School Building,DAGUPAN CITY,Region I
