Project_ID,IPC,Has_Photos,Has_Docs,School_Name,Project_Name,Division,Region
324,INF-10-2026-00054,YES,YES,Oriental Mindoro National High School,MODERNIZATION OF ELECTRICAL SYSTEMS ON GRID SCHOOL OF ORIENTAL MINDORO NATIONAL HIGH         SCHOOL,CALAPAN CITY,MIMAROPA
328,INF-10-2026-00048,NO,YES,Pupua Elementary School,BAKAKENG BRIDGE,CATBALOGAN CITY,REGION VIII
332,INF-01-2026-00050,YES,YES,Maniwaya National High School,"CONSTRUCTION OF SCHOOL BUILDING, MANIWAYA NATIONAL HIGH SCHOOL, SANTA CRUZ, MARINDUQUE",MARINDUQUE,MIMAROPA
380,INF-03-2024-00001,NO,YES,Cirilo Rabanal ES,"Cirilo Rabanal ES - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",ILOCOS SUR,REGION I
381,INF-03-2024-00002,NO,YES,Iteb PS,"Iteb PS - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",ILOCOS SUR,REGION I
383,INF-03-2024-00004,NO,YES,Mangayang ES,"Mangayang ES - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",NUEVA VIZCAYA,REGION II
384,INF-03-2024-00005,NO,YES,Namanparan ES,"Namanparan ES - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",NUEVA VIZCAYA,REGION II
385,INF-03-2024-00006,NO,YES,Calumpit ES,"Calumpit ES - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",BULACAN,REGION III
386,INF-03-2024-00007,NO,YES,Panagan ES,"Panagan ES - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",CAMARINES SUR,REGION V
388,INF-03-2024-00009,NO,YES,Caparispisan PS,"Caparispisan PS - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",ILOCOS NORTE,REGION I
389,INF-03-2024-00010,NO,YES,Cabanuangan ES,"Cabanuangan ES - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",AURORA,REGION III
390,INF-03-2024-00011,NO,YES,Calaocan ES,"Calaocan ES - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",AURORA,REGION III
391,INF-03-2024-00012,NO,YES,Pitugo ES,"Pitugo ES - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",BATANGAS,REGION IV-A
392,INF-03-2024-00013,NO,YES,Ligpit Bantayan ES,"Ligpit Bantayan ES - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",QUEZON,REGION IV-A
393,INF-03-2024-00014,NO,YES,Banti ES,"Banti ES - 1 Storey - 3 CL (Rainwater Collector; Solar PV Energy 
System; Water System; SF)",ORIENTAL MINDORO,MIMAROPA
411,INF-01-2026-00830,YES,YES,Mariveles NHS Cab. Annex-Alasasin,CONSTRUCTION OF MODULAR ONE (1) STOREY TWO (2) CLASSROOM SCHOOL BUILDING,BATAAN,REGION III
417,INF-01-2026-00059,NO,YES,Partida Elementary School,PROPOSED ONE (1) STOREY CLASSROOM SCHOOL BUILDING,BULACAN,REGION III
1408,INF-01-2026-00940,YES,NO,Tinghub Elementary School,"Construction of One Story Building with Four Classroom, Tinghub Elementary School, Brgy Tinghub, Villaba Leyte With Bundled School Furniture",LEYTE,REGION VIII
102892,INF-02-2024-00363,YES,NO,Bayowong Elementary School,Repair / Rehabilitation of Classrooms,KALINGA,CAR
102893,INF-02-2024-00364,YES,NO,Sadsadan Primary School,Repair / Rehabilitation of Classrooms,KALINGA,CAR
102895,INF-02-2024-00366,YES,NO,Calaocan Elementary School,Repair / Rehabilitation of Classrooms,KALINGA,CAR
105494,INF-01-2025-00750,YES,YES,Malalag CES-SPED Center,Construction of School Building,SARANGANI,REGION XII
1000086,INF-01-2026-00904,NO,YES,Vicente Fuentes ES,Construction of 5STY 4CL,SARANGANI,REGION XII
1000156,INF-04-2024-00203,YES,YES,Altavas ES,Construction of School Clinic,AKLAN,REGION VI
1000227,INF-02-2025-00034,NO,YES,Tagbaobo Elementary School,Repair / Rehabilitation of Classrooms,ISLAND GARDEN CITY OF SAMAL,REGION XI
1000272,INF-12-2024-00645,NO,YES,New Era ES,Upgrading of Electrical System (Overhead System),QUEZON CITY,NCR
1000341,INF-01-2025-00716,YES,YES,Alangilan Senior High School,Construction of School Building,BATANGAS CITY,REGION IV-A
1000441,INF-12-2024-00220,YES,YES,Tarlac National High School,,TARLAC,REGION III
1000462,INF-02-2024-00131,YES,YES,Talaga ES,Repair of Classrooms,TARLAC,REGION III
1000466,INF-02-2024-00859,NO,YES,Sawata NHS,Repair of Classrooms,DAVAO DEL NORTE,REGION XI
1000467,INF-02-2024-00858,NO,YES,Datu Balong NHS,Repair of Classrooms,DAVAO DEL NORTE,REGION XI
1000468,INF-04-2024-00011,YES,NO,Aglipay West CS,Construction/Repair of Health Facilities,QUIRINO,REGION II
1000479,INF-05-2024-00100,NO,YES,Comara T. Manuel Central Elementary School SPED Center,Conservation and Restoration of Gabaldon School Building,DAVAO ORIENTAL,REGION XI
1000492,INF-06-2024-00129,YES,YES,Macangao Central Elementary School,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),DAVAO ORIENTAL,REGION XI
1000500,INF-06-2024-00057,YES,NO,Pilar P. Rodriguez Integrated School,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),DAVAO CITY,REGION XI
1000502,INF-05-2025-00083,NO,YES,Tugbok Central ES SPED Center,Repair/Rehab. Of Gabaldon Bldg.,DAVAO CITY,REGION XI
1000503,INF-02-2025-00374,YES,NO,Lapu Lapu ES,Repair / Rehabilitation of Classrooms,DAVAO CITY,REGION XI
1000504,INF-05-2025-00072,NO,YES,Alejandra L. Navarro Central Elementary School,Repair/Rehab. Of Gabaldon Bldg.,DAVAO CITY,REGION XI
1000505,INF-02-2025-00323,NO,YES,Saloy ES,Repair / Rehabilitation of Classrooms,DAVAO CITY,REGION XI
1000507,INF-03-2025-00165,NO,YES,Butay National High School,2units-1sty 3cl,DAVAO CITY,REGION XI
1000510,INF-05-2024-00077,YES,NO,Alambre ES,Conservation and Restoration of Gabaldon School Building,DAVAO CITY,REGION XI
1000511,INF-05-2024-00074,YES,NO,Catigan ES,Conservation and Restoration of Gabaldon School Building,DAVAO CITY,REGION XI
1000512,INF-05-2024-00073,YES,NO,Baracatan ES,Conservation and Restoration of Gabaldon School Building,DAVAO CITY,REGION XI
1000524,INF-01-2025-00737,YES,YES,Buhangin CES SPED CENTER,CONSTRUCTION OF SCHOOL BUILDING,DAVAO CITY,REGION XI
1000535,INF-02-2025-00754,NO,YES,Oeste National High School,Repair / Rehabilitation of Classrooms,SAMAR (WESTERN SAMAR),REGION VIII
1000553,INF-04-2026-00001,YES,YES,Salvacion National High School,CONSTRUCTION OF  HEALTH CLINIC,BAYUGAN CITY,CARAGA
1000559,INF-03-2024-00197,NO,YES,Mc Arthur S. Madani Integrated School,"CONSTRUCTION  OF 1 UNIT 1STRY-2CL SCHOOL BUILDING (WITH TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, SOLAR PV ENERGY SYSTEM, WATER SYSTEM AND FLOOD MARKER - MC ARTHUR S. MADANI IS",DAVAO ORIENTAL,REGION XI
1000561,INF-03-2024-00195,NO,YES,Logdeck Elementary School,"CONSTRUCTION  OF 1 UNIT 1STRY-2CL SCHOOL BUILDING (WITH TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, SOLAR PV ENERGY SYSTEM, WATER SYSTEM AND FLOOD MARKER - LOGDECK ELEMENTARY SCHOOL",DAVAO ORIENTAL,REGION XI
1000563,INF-04-2024-00510,NO,YES,Gregorio Moralizon ES 1,Construction of School Clinic,DAVAO ORIENTAL,REGION XI
1000564,INF-12-2024-00884,YES,YES,Lambajon Central Elementary School SPED Center,Energization of Electrical System (Overhead System),DAVAO ORIENTAL,REGION XI
1000565,INF-02-2024-00227,NO,YES,Osmeña Elementary School,Repair of Classrooms,DAVAO ORIENTAL,REGION XI
1000622,INF-01-2026-01175,YES,YES,Balilihan Central ES,2 STOREY 4 CLASSROOM-BALILIHAN CES,BOHOL,REGION VII
1000625,INF-11-2024-00685,YES,YES,Mahatao Elementary School,REPAIR OF CLASSROOMS,BATANES,REGION II
1000630,INF-04-2025-00001,YES,NO,Himamaylan NHS,CONSTRUCTION OF SCHOOL HEALTH FACILITY AT HIMAMAYLAN NHS,HIMAMAYLAN CITY,NIR
1000634,INF-01-2024-01577,YES,YES,BUENAVISTA HIGH SCHOOL,2STY8CL CONSTRUCTION OF CLASSROOMS,BOHOL,REGION VII
1006598,INF-12-2024-01629,YES,NO,Surigao City Pilot Sch.,Upgrading of Electrical System,SURIGAO CITY,CARAGA
1006752,INF-12-2024-01666,NO,YES,Jose Rizal ES,Upgrading of Electrical System,PASAY CITY,NCR
1006769,INF-02-2024-01829,YES,NO,Gamban Dadatan National High School,Repair of Classrooms,ISLAND GARDEN CITY OF SAMAL,REGION XI
1006796,INF-11-2024-01535,YES,NO,Limao Elementary School,Repair of Classrooms,ISLAND GARDEN CITY OF SAMAL,REGION XI
1006996,INF-02-2024-01915,YES,NO,Anoling ES,Repair of Classrooms,BOHOL,REGION VII
1007025,INF-02-2024-01926,YES,NO,Malinao ES,Repair of Classrooms,BOHOL,REGION VII
1007110,INF-02-2024-01958,YES,NO,Ili National High School,Repair of Classrooms,APAYAO,CAR
1007119,INF-02-2024-01962,YES,NO,Anoling National High School,Repair of Classrooms,BOHOL,REGION VII
1007165,INF-02-2024-01982,YES,NO,Lungsodaan ES,Repair of Classrooms,BOHOL,REGION VII
1007166,INF-02-2024-01983,YES,NO,Abihilan ES,Repair of Classrooms,BOHOL,REGION VII
1007172,INF-02-2024-01987,YES,NO,La Union NHS,Repair of Classrooms,BOHOL,REGION VII
1007204,INF-04-2024-01230,YES,NO,Sindangan National High School,Construction of School Clinic,ZAMBOANGA DEL NORTE,REGION IX
1007207,INF-02-2024-02002,YES,NO,Bonkokan ES,Repair of Classrooms,BOHOL,REGION VII
1007218,INF-02-2024-02009,YES,NO,La Union Elementary School,Repair of Classrooms,BOHOL,REGION VII
1007227,INF-12-2024-01804,YES,NO,Iligan City East National HS (Sta. Filomena),Modernization of Electrical System On-grid Schools,ILIGAN CITY,REGION X
1007229,INF-02-2024-02013,YES,NO,Malimba ES,Repair of Classrooms,GAPAN CITY,REGION III
1007239,INF-12-2024-01806,YES,NO,SANTA CRUZ CES,Energization of Electrical System (Overhead System),DAVAO DEL SUR,REGION XI
1007293,INF-02-2024-02029,YES,NO,Mainit ES,Repair of Classrooms,ILIGAN CITY,REGION X
1007297,INF-02-2024-02031,YES,NO,Panadtaran ES,Repair of Classrooms,BOHOL,REGION VII
1007312,INF-12-2024-01824,YES,NO,BULAWAN INTEGRATED SCHOOL,Electrification of Un-Energized Schools and Modernization of Electrical Systems of On-Grid Schools,ZAMBOANGA DEL NORTE,REGION IX
1007367,INF-02-2024-02055,YES,NO,Diongan National High School,Repair of Classrooms,ZAMBOANGA DEL NORTE,REGION IX
1007382,INF-02-2024-02057,YES,NO,Bogabongan ES,Repair of Classrooms,ZAMBOANGA DEL NORTE,REGION IX
1007410,INF-06-2024-00459,YES,NO,Liloy CS,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),ZAMBOANGA DEL NORTE,REGION IX
1007460,INF-02-2024-02064,YES,NO,Kabugao Central School,Repair of Classrooms,APAYAO,CAR
