School ID,School Name,Region,Division,,,,,,,,,,502980
306450,Bamban High School,MIMAROPA,Occidental Mindoro,,,,,,,,,,502969
306452,Naibuan High School,MIMAROPA,Occidental Mindoro,,,,,,,,,,502924
306451,SENEN T. MENDIOLA SR. HIGH SCHOOL,MIMAROPA,Occidental Mindoro,,,,,,,,,,502982
306471,ANSELMA E. GONZALES NATIONAL HIGH SCHOOL,NIR,Negros Oriental,,,,,,,,,,306471
137370,Crossing Bago Elementary School,NIR,Sagay City,,,,,,,,,,503048
137355,Silay Yolanda Elementary School,NIR,Silay City,,,,,,,,,,502932
306494,Leodegario Ponce Gonzales National High School,NIR,Sipalay City,,,,,,,,,,503026
101753,Poponto ES,REGION I,"PANGASINAN II, BINALONAN",,,,,,,,,,306450
137378,Ignacio S. Sapla Elementary School,Region II,Cagayan,,,,,,,,,,502905
137383,Pipig Elementary School,Region II,Nueva Vizcaya,,,,,,,,,,503061
306519,Solano Senior High School,Region II,Nueva Vizcaya,,,,,,,,,,502981
306534,Emigdio A. Bondoc High School,Region III,Pampanga,,,,,,,,,,502933
306525,Sta. Monica High School,REGION III,PAMPANGA,,,,,,,,,,503051
306535,Santo Tomas High School,Region IV-A,Binan City,,,,,,,,,,502895
252507,Patutul PS,Region IX,Sulu,,,,,,,,,,503055
252547,Pusto PS,Region IX,Sulu,,,,,,,,,,502926
134393,Siolakan PS,Region IX,Sulu,,,,,,,,,,502992
124271,San Jose Integrated School,REGION IX,ZAMBOANGA DEL NORTE,,,,,,,,,,502920
306490,NURSERY TECHNICAL-VOCATIONAL HIGH SCHOOL,Region V,Masbate City,,,,,,,,,,306537
137388,Segundo M. Prado Elementary School,Region VI,Aklan,,,,,,,,,,502983
306521,Edgardo J. Angara National High School,Region VII,Bohol,,,,,,,,,,502986
306499,Lapinig National High School,Region VII,Bohol,,,,,,,,,,502914
306515,Limokon National High School,Region VII,Bohol,,,,,,,,,,190008
306500,Loon Northeast National High School,Region VII,Bohol,,,,,,,,,,503050
306498,Payao National High School,Region VII,Bohol,,,,,,,,,,503053
306449,Gen. P. Del Rosario National High School,Region VII,Toledo City,,,,,,,,,,502897
306446,Marcelo and Anunciacion Libre Dolino National High School,Region VII,Toledo City,,,,,,,,,,503035
306447,Pangamihan National High School,Region VII,Toledo City,,,,,,,,,,137370
306448,Primo and Teresa Caboñita Sigue National High School,Region VII,Toledo City,,,,,,,,,,503070
306463,Joseph G. Sagonoy  National High School,REGION VIII,NORTHERN SAMAR,,,,,,,,,,502945
306464,New Rizal National High School,REGION VIII,NORTHERN SAMAR,,,,,,,,,,503062
137401,Maganding Primary School,Region X,Lanao del Norte,,,,,,,,,,503024
137366,Mamanga Gamay Elementary School,Region X,Misamis Occidental,,,,,,,,,,502923
127576,San Nicolas Elementary School,REGION X,MISAMIS OCCIDENTAL,,,,,,,,,,502922
,,,,,,,,,,,,,502927
,,,,,,,,,,,,,502936
,,,,,,,,,,,,,503032
,,,,,,,,,,,,,503045
,,,,,,,,,,,,,306521
,,,,,,,,,,,,,306534
,,,,,,,,,,,,,306518
,,,,,,,,,,,,,306449
,,,,,,,,,,,,,502898
,,,,,,,,,,,,,502990
,,,,,,,,,,,,,502929
,,,,,,,,,,,,,137378
,,,,,,,,,,,,,306463
,,,,,,,,,,,,,503038
,,,,,,,,,,,,,502916
,,,,,,,,,,,,,503039
,,,,,,,,,,,,,503036
,,,,,,,,,,,,,306499
,,,,,,,,,,,,,306494
,,,,,,,,,,,,,306515
,,,,,,,,,,,,,503021
,,,,,,,,,,,,,503046
,,,,,,,,,,,,,503057
,,,,,,,,,,,,,502963
,,,,,,,,,,,,,503027
,,,,,,,,,,,,,306500
,,,,,,,,,,,,,502971
,,,,,,,,,,,,,503033
,,,,,,,,,,,,,137401
,,,,,,,,,,,,,137366
,,,,,,,,,,,,,502991
,,,,,,,,,,,,,502970
,,,,,,,,,,,,,306446
,,,,,,,,,,,,,502934
,,,,,,,,,,,,,306452
,,,,,,,,,,,,,306464
,,,,,,,,,,,,,503017
,,,,,,,,,,,,,306490
,,,,,,,,,,,,,503049
,,,,,,,,,,,,,502979
,,,,,,,,,,,,,306447
,,,,,,,,,,,,,503069
,,,,,,,,,,,,,502977
,,,,,,,,,,,,,502948
,,,,,,,,,,,,,252507
,,,,,,,,,,,,,306498
,,,,,,,,,,,,,503056
,,,,,,,,,,,,,137383
,,,,,,,,,,,,,107813
,,,,,,,,,,,,,306448
,,,,,,,,,,,,,502976
,,,,,,,,,,,,,252547
,,,,,,,,,,,,,503037
,,,,,,,,,,,,,502993
,,,,,,,,,,,,,502937
,,,,,,,,,,,,,503040
,,,,,,,,,,,,,503018
,,,,,,,,,,,,,503025
,,,,,,,,,,,,,306535
,,,,,,,,,,,,,137388
,,,,,,,,,,,,,306451
,,,,,,,,,,,,,137355
,,,,,,,,,,,,,134393
,,,,,,,,,,,,,306519
,,,,,,,,,,,,,503042
,,,,,,,,,,,,,306525
,,,,,,,,,,,,,503043
,,,,,,,,,,,,,502972
,,,,,,,,,,,,,502907
