Region,Division,Count
"Region VII","Bohol",5
"Region VII","Toledo City",4
"MIMAROPA","Occidental Mindoro",3
"Region IX","Sulu",3
"Region II","Nueva Vizcaya",2
"REGION VIII","NORTHERN SAMAR",2
"NIR","Negros Oriental",1
"NIR","Sagay City",1
"NIR","Silay City",1
"NIR","Sipalay City",1
"REGION I","PANGASINAN II, BINALONAN",1
"Region II","Cagayan",1
"Region III","Pampanga",1
"REGION III","PAMPANGA",1
"Region IV-A","Binan City",1
"REGION IX","ZAMBOANGA DEL NORTE",1
"Region V","Masbate City",1
"Region VI","Aklan",1
"Region X","Lanao del Norte",1
"Region X","Misamis Occidental",1
"REGION X","MISAMIS OCCIDENTAL",1
